Age	CAT01	CAT03	CAT04A	CAT05B	CAT06	CAT07	CAT08A	CAT09C	CAT10	CAT11	CAT12	CAT13	CAT14B	CAT15	CAT16	CAT17	CAT18	CAT19	CAT20	CAT21	CAT120B	CAT1226	CAT1228	CAT1230	CAT1613	CAT1626	CAT1850	CAT2013	CAT2137	CAT2145	Mean	Median	TSD	Mean	MAI																			
27.000	11.387	12.413	14.400	10.748	11.337	23.375	19.936	13.592	10.587	13.281	18.706	12.732	14.162	15.233	23.774	16.564	14.517	12.870	12.370	12.650	8.3880	13.326	12.919	10.345	13.256	12.328	8.2648	9.1747	9.2552	17.204	13.630	12.894	10.757	0.45193	0.39841																			
28.000	11.650	12.680	15.010	11.075	12.122	23.734	21.065	14.611	11.481	13.700	19.068	13.068	14.650	15.568	24.462	17.174	14.758	13.102	12.593	13.111	8.7410	14.606	13.145	10.938	13.727	12.933	8.9776	9.5332	9.3442	17.983	14.172	13.128	11.168	0.41078	0.39886																			
29.000	12.109	12.912	16.406	11.466	12.810	24.015	21.599	15.085	12.119	13.980	19.416	13.372	15.131	15.843	25.122	18.446	15.094	13.175	12.888	14.015	9.2980	15.954	13.511	11.102	14.055	13.715	9.1228	9.9012	9.6284	18.924	14.677	13.848	11.603	0.43532	0.40011																			
30.000	12.277	13.510	17.680	11.635	13.135	24.248	22.414	15.967	12.566	14.359	19.818	14.028	15.603	16.738	25.436	18.863	15.540	13.303	13.210	14.782	9.7254	16.726	14.832	11.620	14.785	14.654	9.4458	10.273	11.153	19.993	15.275	14.718	11.950	0.34702	0.39834																			
31.000	12.705	14.039	19.151	11.957	13.635	24.918	23.608	16.619	12.930	14.640	20.353	14.266	16.082	17.262	25.811	20.205	16.541	13.388	13.617	15.860	10.358	17.864	15.746	11.911	15.341	14.807	9.7326	10.661	11.566	20.366	15.876	15.074	12.386	0.43522	0.39953																			
32.000	13.114	14.788	20.134	12.445	14.371	25.264	24.329	17.138	13.135	15.318	21.104	14.867	16.551	17.901	26.426	21.503	17.040	13.853	14.114	16.379	10.903	18.410	16.395	12.124	16.219	16.114	10.164	11.048	12.148	20.409	16.485	16.167	12.960	0.57462	0.40500																			
33.000	13.552	15.400	20.663	13.221	15.216	25.754	24.897	17.830	13.516	15.755	21.336	15.197	17.021	18.312	27.175	22.765	17.719	14.067	14.736	17.605	11.593	18.447	16.856	12.328	16.338	17.324	10.433	11.432	13.155	21.191	17.044	16.597	13.496	0.53627	0.40898																			
34.000	14.409	15.755	20.910	13.957	16.335	26.203	25.681	19.659	13.894	16.453	21.954	15.920	17.494	19.336	27.882	23.503	18.326	14.597	14.953	18.865	12.908	19.272	17.527	12.855	16.461	18.029	11.001	11.819	13.662	22.033	17.749	16.994	14.041	0.54467	0.41297																			
35.000	14.933	16.275	21.154	14.701	16.865	26.826	25.991	19.998	14.299	16.837	22.614	16.393	17.979	20.363	28.487	23.720	19.041	15.393	15.375	20.113	13.914	20.553	18.071	13.545	16.764	19.158	11.182	12.202	14.013	22.640	18.369	17.468	14.592	0.55077	0.41691																			
36.000	15.870	16.669	22.025	15.173	17.892	27.269	26.356	21.483	14.661	17.450	22.775	16.516	18.459	21.083	29.036	23.839	19.816	15.984	15.877	20.536	14.330	21.573	18.895	14.200	16.994	19.391	12.156	12.597	14.432	23.160	18.933	18.394	15.210	0.61769	0.42249																			
37.000	16.135	17.260	23.025	16.173	18.464	27.570	26.712	22.655	15.147	17.709	23.022	16.865	18.950	21.350	29.579	24.081	20.005	16.796	16.478	21.158	14.696	22.146	19.780	15.125	17.487	19.416	12.304	12.985	14.609	23.702	19.448	18.940	15.792	0.58294	0.42682																			
38.000	16.310	17.924	24.020	17.154	18.746	27.780	27.218	24.042	15.552	18.386	23.382	17.264	19.449	21.966	30.045	24.346	20.547	18.244	17.009	21.998	14.821	22.611	19.918	15.417	17.829	20.145	13.060	13.378	14.844	24.338	20.019	19.332	16.397	0.60493	0.43151																			
